query_id,query_content,category_id,category_description
178,英语26个字母的读法,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
799,笔记本怎么破解wifi,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
182,hhh 出场,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
58,习近平2018八一建军节视频,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
95,2017usul,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
524,2017名图18,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
133,2015魅力东方第三届中国国际内衣创意设计大赛,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
247,屌德斯解说瑞克和莫第i,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
797,迪迦奥特曼维吾尔语,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
538,开拉饵散炮手法,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
602,热巴邓伦同台,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
847,2018法考三国法系统强化03 殷敏厚大法考,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
295,千金归来补课,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
176,雅馨绣高帮老虎棉鞋的编织方法,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
957,柔力球亲疙旦下河洗衣裳集体自编,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
190,红领巾国学达人竞赛,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
783,哈萨克斯坦新闻2018,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
8,hueanh tuyet dinh song ca nhi 2018,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
121,拳击手套,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
402,怎样练习乒乓球的摩察球,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
22,美国警察开枪人质18枪,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
29,0芝加哥警署,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
861,美军广告,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
197,坦克世界1,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
558,流浪的萨摩耶,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
564,卡内基梅隆,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
865,爱尔兰钩花连网,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
60,台湾渔民在钓鱼岛,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
627,以色列小国强大的内因,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
974,丛林法则西伯利亚,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
185,车尔尼第13条,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
842,根据战争法2,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
504,poj niam tsis hlub los cas,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
516,cau be fhong mjnh,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
346,sib phwb cawm seej,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
17,shoe time,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
106,school routine,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
149,sony 35 1 4,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
369,edem,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
111,topper,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
533,crispr cas9,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
250,egli non riede ancora,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
748,业主委员会成员可以兼职物业公司经理吗,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
403,奔跑公寓,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
990,香港ups广告,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
20,新后羿射日,TRASH_CATEGORY,垃圾簇 - 包含查询数过少的簇
